species,width,length
cherry,30,56
cherry,32,59
cherry,31,68
cherry,41,90
cherry,37,68
cherry,44,105
cherry,47,88
cherry,31,73
cherry,32,72
cherry,32,80
cherry,35,82
cherry,37,88
cherry,36,79
cherry,38,83
cherry,41,97
cherry,31,83
pear,43,58
pear,41,69
pear,38,61
pear,40,60
pear,41,79
pear,39,66
pear,39,63
pear,47,65
pear,40,90
pear,43,75
pear,33,64
pear,45,83
pear,42,79
pear,35,65
pear,38,66
pear,51,74
